File	Terminals	Reading time (s)	Encoding time (s)	Total time (s)	Current memory (KB)	Peak memory (KB)
4373.newick	8	0.0009763240814208984	0.016242504119873047	0.01721930503845215	4.805	15.048
1165.newick	21	0.0011789798736572266	0.07302737236022949	0.07420706748962402	14.159	29.431
322.newick	32	0.0014214515686035156	0.12013983726501465	0.12156176567077637	27.249	41.8
2470.newick	20	0.0011487007141113281	0.0729362964630127	0.07408547401428223	12.395	23.326
681.newick	25	0.0012347698211669922	0.08447957038879395	0.08571481704711914	19.898	33.632
405.newick	30	0.0014374256134033203	0.11275506019592285	0.11419296264648438	25.718	40.863
2561.newick	20	0.0011138916015625	0.08270025253295898	0.08381462097167969	11.589	24.15
1628.newick	20	0.001251220703125	0.1001734733581543	0.1014251708984375	12.933	25.417
4777.newick	4	0.0008866786956787109	0.003244161605834961	0.0041315555572509766	2.859	14.224
301.newick	33	0.0015592575073242188	0.11354184150695801	0.11510181427001953	25.968	42.428
4575.newick	6	0.0010676383972167969	0.007906675338745117	0.008974552154541016	4.087	14.826
4760.newick	4	0.0008356571197509766	0.003111600875854492	0.003947734832763672	2.863	14.228
652.newick	26	0.0012137889862060547	0.08157205581665039	0.08278656005859375	18.708	34.406
1829.newick	20	0.0011391639709472656	0.08953166007995605	0.09067153930664062	12.76	24.624
2316.newick	20	0.0011663436889648438	0.10106611251831055	0.1022331714630127	13.128	25.228
2676.newick	20	0.0011932849884033203	0.09766173362731934	0.09885549545288086	11.926	24.519
4343.newick	9	0.0009403228759765625	0.017168760299682617	0.018109560012817383	5.455	15.166
637.newick	26	0.001287221908569336	0.09885549545288086	0.1001436710357666	20.378	35.378
222.newick	40	0.0017254352569580078	0.18910908699035645	0.19083523750305176	29.898	52.232
1864.newick	20	0.0011887550354003906	0.09560918807983398	0.09679841995239258	12.82	25.233
3162.newick	20	0.0011260509490966797	0.10064339637756348	0.10176992416381836	12.76	24.812
3380.newick	20	0.001173257827758789	0.07767796516418457	0.07885169982910156	11.36	23.282
2374.newick	20	0.001111745834350586	0.05533647537231445	0.05644869804382324	9.894	21.274
4571.newick	6	0.0009064674377441406	0.009674072265625	0.010581016540527344	4.212	14.812
2583.newick	20	0.0011012554168701172	0.09365129470825195	0.09475350379943848	12.22	24.363
2118.newick	20	0.0012662410736083984	0.0930018424987793	0.0942685604095459	12.172	24.958
2207.newick	20	0.0011734962463378906	0.09034848213195801	0.0915224552154541	11.496	23.533
3088.newick	20	0.0013110637664794922	0.1020810604095459	0.1033926010131836	11.886	24.079
2830.newick	20	0.0011446475982666016	0.09011960029602051	0.09126496315002441	12.654	24.025
3771.newick	19	0.0011332035064697266	0.09661102294921875	0.09774541854858398	12.393	24.045
1981.newick	20	0.0017676353454589844	0.16678452491760254	0.16855311393737793	12.76	25.036
3141.newick	20	0.0017957687377929688	0.14814352989196777	0.14994001388549805	12.096	24.992
4568.newick	6	0.0013437271118164062	0.012178182601928711	0.013522863388061523	4.036	14.82
1372.newick	21	0.0017502307891845703	0.09441375732421875	0.09616518020629883	13.665	27.721
553.newick	28	0.0019178390502929688	0.13066816329956055	0.13258671760559082	16.285	28.331
914.newick	22	0.0017852783203125	0.1308128833770752	0.1325991153717041	14.55	27.923
2355.newick	20	0.0017664432525634766	0.129044771194458	0.130812406539917	12.259	23.753
3986.newick	17	0.0017170906066894531	0.08553862571716309	0.08725666999816895	9.017	20.216
2615.newick	20	0.0016751289367675781	0.09109783172607422	0.0927734375	8.876	20.1
4134.newick	14	0.0010464191436767578	0.04108715057373047	0.04213404655456543	8.584	18.279
549.newick	28	0.0011816024780273438	0.09662199020385742	0.09780406951904297	17.898	31.842
4876.newick	4	0.0008490085601806641	0.003020048141479492	0.0038695335388183594	3.329	14.214
91.newick	59	0.0019621849060058594	0.3070051670074463	0.30896830558776855	59.683	96.079
2592.newick	20	0.0012874603271484375	0.0714118480682373	0.07269978523254395	10.966	21.838
1083.newick	22	0.0011975765228271484	0.06766653060913086	0.06886482238769531	17.336	28.694
727.newick	25	0.0011951923370361328	0.06846857070922852	0.06966423988342285	14.733	27.452
3006.newick	20	0.0011374950408935547	0.08999061584472656	0.09112882614135742	12.304	24.078
875.newick	23	0.0012054443359375	0.06651759147644043	0.06772351264953613	18.335	31.475
880.newick	23	0.0012106895446777344	0.12333106994628906	0.1245424747467041	15.975	30.544
3556.newick	19	0.0011882781982421875	0.05391860008239746	0.055107831954956055	8.946	19.657
2404.newick	20	0.0013897418975830078	0.05390572547912598	0.05529618263244629	9.868	20.49
4256.newick	12	0.0010149478912353516	0.029572486877441406	0.03058791160583496	7.029	16.583
1228.newick	21	0.0011513233184814453	0.0835568904876709	0.08470869064331055	12.493	24.885
2915.newick	20	0.0011680126190185547	0.09246349334716797	0.09363222122192383	12.169	23.929
4808.newick	4	0.0008974075317382812	0.0032520294189453125	0.004149913787841797	2.851	14.216
1284.newick	21	0.0011875629425048828	0.10448551177978516	0.10567378997802734	15.317	28.986
840.newick	23	0.0012292861938476562	0.09870052337646484	0.0999302864074707	16.365	30.041
2642.newick	20	0.0011250972747802734	0.04830646514892578	0.04943251609802246	9.616	20.008
1964.newick	20	0.0013616085052490234	0.09997248649597168	0.10133481025695801	12.056	24.64
4056.newick	16	0.0011398792266845703	0.06235456466674805	0.06349492073059082	9.022	19.353
2848.newick	20	0.0011458396911621094	0.09320259094238281	0.09434890747070312	12.208	24.616
3277.newick	20	0.0011539459228515625	0.09161543846130371	0.09276986122131348	12.6	24.948
731.newick	24	0.0012564659118652344	0.09834170341491699	0.09959864616394043	16.125	29.985
4648.newick	5	0.000850677490234375	0.005287647247314453	0.006138801574707031	3.136	14.344
2858.newick	20	0.0011489391326904297	0.07058167457580566	0.0717310905456543	12.945	24.638
4580.newick	6	0.0008962154388427734	0.006753683090209961	0.0076503753662109375	3.907	14.792
3086.newick	20	0.0011563301086425781	0.09747815132141113	0.09863519668579102	14.002	26.409
1992.newick	20	0.0012712478637695312	0.08672070503234863	0.08799266815185547	11.818	23.625
2338.newick	20	0.001146078109741211	0.04727935791015625	0.04842638969421387	8.884	19.173
3844.newick	19	0.0011301040649414062	0.04241442680358887	0.04354500770568848	8.918	19.003
1949.newick	20	0.0011830329895019531	0.10116410255432129	0.10234761238098145	11.976	24.568
